,, data,concessionari ,consistenza,decreto ministeriale,durata anni,foglio,particella,progetto,sub,tipologia,ubicazione,unnamed 10
Catania,46.0,,fondazione somaschi onlus p.zza xxv aprile 220121 milano,5 vani,,6,,,progetto sociale,,abitazione,via leoncavallo,
Catania,47.0,,gestione direttacomune di milano,26 mq,,,,,progetto sociale,,negozio,via leoncavallo,
Catania,48.0,,associazione di promozione sociale jointvia giovanola 25/c20142 milano,"2,5 vani",,10,,,progetto sociale,,abitazione,via leoncavallo,
Catania,49.0,,coop. soc. anteo onlusvia f. piacenza n. 1113900 biella bi,"2,5 vani",,3,,,progetto sociale,,abitazione,corso lodi,
Catania,50.0,,coop. soc. anteo onlusvia f. piacenza n. 1113900 biella bi,13 mq,,3,,,progetto sociale,,box,corso lodi,
Catania,51.0,,coop. soc. anteo onlusvia f. piacenza n. 1113900 biella bi,"2,5 vani",,3,,,progetto sociale,,abitazione,corso lodi,
Catania,52.0,,coop. soc. anteo onlusvia f. piacenza n. 1113900 biella bi,20 mq,,3,,,progetto sociale,,box,corso lodi,
Catania,53.0,,gestione direttacomune di milanosettore residenzialit,"5, 5 vani",,,,,progetto sociale,,abitazione,via lombardia,
Catania,54.0,,gestione direttacomune di milano,37 mq,,,,,progetto sociale,,negozio,via maderna,
Catania,55.0,,associazione centro ambrosiano di solidariet onlusvia marotta n. 820134 milano,79 mq,,6,,,progetto sociale,,magazzino seminterrato,via madre picco a.,
Catania,56.0,,associazione saman onlusvia bolzano 2620127 milano,3 vani,,3,,,progetto sociale,,abitazione,viale majno,
Catania,57.0,,cooperativa socialeopera in fiorevia camporgnago 4020141 milano,1.793 mq,,7,,,progetto sociale,,terreno agricolo,via martirano/via guascona,
Catania,58.0,,ass. telefono donnap.zza ospedale maggiore n. 320162 milano,"3,5 vani",,3,,,progetto sociale,,abitazione,via meda g.,
Catania,59.0,,ass. s.o.s. bambinointernational adoption onlusvia monteverdi 2/a36100 vicenza,4 vani,,3,,,progetto sociale,,uso ufficio,via melzi deril,
Catania,60.0,,cooperativa zero5 laboratorio di utopie metropolitane via santabbondio 26/c20142 milano,106 mq,,5,,,progetto sociale,,locale commerciale,via momigliano,
Catania,61.0,,societ cooperativa sociale la stradavia giovanni battista piazzetta 220139 milano,9 vani,,6,,,progetto sociale,,abitazione,via monte ceneri,
Catania,62.0,,consorzio sociale goel societ cooperativa sociale e impresa sociale contrada limina 389042 gioiosa jonica rc,3 vani,,10,,,progetto sociale,,abitazione,via monte santo,
Catania,63.0,,"societ cooperativa a r.l. a.c.c.e.s.s.o. agenziastampa di comunicazione per i consumi etici, sociali e solidalivia belgirate 1520125 milano",1 vani,,6,,,progetto sociale,,abitazione,viale monza,
Catania,64.0,,fondazione somaschi onlus p.zza xxv aprile 220121 milano,5 vani,,6,,,progetto sociale,,abitazione,viale monza,
Catania,65.0,,fondazione somaschi onlus p.zza xxv aprile 220121 milano,1 vani,,6,,,progetto sociale,,abitazione,via mosca,
Catania,66.0,,fondazione casa della carit angelo abriani onlusvia brambilla 8/1020128 milano,"2,5 vani",,3,,,progetto sociale,,abitazione,via oristano,
