n. unità,tipologia,consistenza,ubicazione,concessionari ,durata anni,progetto
143,abitazione e solaio di pertinenza,2 vani,Via Vallazze,Fondazione Casa della Carità Angelo Abriani OnlusVia Brambilla 8/1020128 Milano,10,Progetto Sociale
144,abitazione e solaio di pertinenza,13 mq,Via Vallazze,Fondazione Casa della Carità Angelo Abriani OnlusVia Brambilla 8/1020128 Milano,10,Progetto Sociale
145,abitazione e solai di pertinenza ,"2,5 vani",Via Vallazze,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,6,Progetto Sociale
146,abitazione e solai di pertinenza ,10 mq,Via Vallazze,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,6,Progetto Sociale
147,abitazione e solai di pertinenza ,11 mq,Via Vallazze,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,6,Progetto Sociale
148,abitazione e solai di pertinenza ,2 vani,Via Vallazze,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,6,Progetto Sociale
149,abitazione e solai di pertinenza ,6 mq,Via Vallazze,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,6,Progetto Sociale
150,abitazione e solai di pertinenza ,12 mq,Via Vallazze,Consorzio Cooperative Socialidi Solidarietà s.c.s. a r.l. Sistema Imprese Sociali Via Marco Aurelio 820127 Milano,6,Progetto Sociale
151,negozio,22 mq,Via Vallazze,Angel Service Soc. Coop. Soc. arl OnlusVia Vallazze n. 10420131 Milano,3,Progetto Sociale
152,cantina,12 mq,Via Vallazze,Angel Service Soc. Coop. Soc. arl OnlusVia Vallazze n. 10420131 Milano,3,Progetto Sociale
153,appart.,"4,5 vani",Via Val Isorno,Cooperativa Sociale Comunità del GiambellinoVia Bellini Gentile 620146 Milano,5,Progetto Sociale
154,Autosalone e box di pertinenza,105 mq,Via Varesina,Fondazione Exodus OnlusVle Marotta 18/2020134 Milano,5,Progetto Sociale
155,box,11 mq,Via Varesina,Fondazione Exodus OnlusVle Marotta 18/2020134 Milano,5,Progetto Sociale
156,localecommerciale,21 mq,Via Venini,Associazione L'Altropallone ADS OnlusVia Angera 320125 Milano,4,Progetto Sociale
